,ATHLETE_NAME,ATHLETE_COUNTRY,ATHLETE_DISCIPLINE,COACH_NAME,COACH_COUNTRY,COACH_DISCIPLINE,COACH_EVENT,FEMALE_ENTRIES,MALE_ENTRIES,TOTAL_ENTRIES,TEAM_COUNTRY,GOLD_MEDALS,SILVER_MEDALS,BRONZE_MEDALS,TOTAL_MEDALS,RANK_BY_TOTAL
0,AALERUD Katrine,Norway,Cycling Road,,,,,70,131,201,Norway,4.0,2.0,2.0,8.0,29.0
1,ABAD Nestor,Spain,Artistic Gymnastics,,,,,98,98,196,Spain,3.0,8.0,6.0,17.0,17.0
2,ABAGNALE Giovanni,Italy,Rowing,,,,,257,265,522,Italy,10.0,10.0,20.0,40.0,7.0
3,ABALDE Alberto,Spain,Basketball,ALLER CARBALLO Manuel Angel,Spain,Basketball,,144,144,288,Spain,3.0,8.0,6.0,17.0,17.0
4,ABALDE Alberto,Spain,Basketball,DIAZ FERNANDEZ Jenaro Manuel,Spain,Basketball,,144,144,288,Spain,3.0,8.0,6.0,17.0,17.0
5,ABALDE Alberto,Spain,Basketball,GONZALEZ JARENO Angel,Spain,Basketball,,144,144,288,Spain,3.0,8.0,6.0,17.0,17.0
6,ABALDE Alberto,Spain,Basketball,HERNANDEZ FRAILE Jose Ignacio,Spain,Basketball,,144,144,288,Spain,3.0,8.0,6.0,17.0,17.0
7,ABALDE Alberto,Spain,Basketball,LAZARO CORRAL Jesus,Spain,Basketball,,144,144,288,Spain,3.0,8.0,6.0,17.0,17.0
8,ABALDE Alberto,Spain,Basketball,MIRET GARCIA Daniel,Spain,Basketball,,144,144,288,Spain,3.0,8.0,6.0,17.0,17.0
9,ABALDE Alberto,Spain,Basketball,MONDELO GARCIA Lucas,Spain,Basketball,Women,144,144,288,Spain,3.0,8.0,6.0,17.0,17.0
10,ABALDE Alberto,Spain,Basketball,PRADO BRANAS Joaquin,Spain,Basketball,,144,144,288,Spain,3.0,8.0,6.0,17.0,17.0
11,ABALDE Alberto,Spain,Basketball,SCARIOLO Sergio,Spain,Basketball,Men,144,144,288,Spain,3.0,8.0,6.0,17.0,17.0
12,ABALDE Alberto,Spain,Basketball,ZAMORA PEDREIRA Javier,Spain,Basketball,,144,144,288,Spain,3.0,8.0,6.0,17.0,17.0
13,ABALDE Tamara,Spain,Basketball,ALLER CARBALLO Manuel Angel,Spain,Basketball,,144,144,288,Spain,3.0,8.0,6.0,17.0,17.0
14,ABALDE Tamara,Spain,Basketball,DIAZ FERNANDEZ Jenaro Manuel,Spain,Basketball,,144,144,288,Spain,3.0,8.0,6.0,17.0,17.0
15,ABALDE Tamara,Spain,Basketball,GONZALEZ JARENO Angel,Spain,Basketball,,144,144,288,Spain,3.0,8.0,6.0,17.0,17.0
16,ABALDE Tamara,Spain,Basketball,HERNANDEZ FRAILE Jose Ignacio,Spain,Basketball,,144,144,288,Spain,3.0,8.0,6.0,17.0,17.0
17,ABALDE Tamara,Spain,Basketball,LAZARO CORRAL Jesus,Spain,Basketball,,144,144,288,Spain,3.0,8.0,6.0,17.0,17.0
18,ABALDE Tamara,Spain,Basketball,MIRET GARCIA Daniel,Spain,Basketball,,144,144,288,Spain,3.0,8.0,6.0,17.0,17.0
19,ABALDE Tamara,Spain,Basketball,MONDELO GARCIA Lucas,Spain,Basketball,Women,144,144,288,Spain,3.0,8.0,6.0,17.0,17.0
20,ABALDE Tamara,Spain,Basketball,PRADO BRANAS Joaquin,Spain,Basketball,,144,144,288,Spain,3.0,8.0,6.0,17.0,17.0
21,ABALDE Tamara,Spain,Basketball,SCARIOLO Sergio,Spain,Basketball,Men,144,144,288,Spain,3.0,8.0,6.0,17.0,17.0
22,ABALDE Tamara,Spain,Basketball,ZAMORA PEDREIRA Javier,Spain,Basketball,,144,144,288,Spain,3.0,8.0,6.0,17.0,17.0
23,ABALO Luc,France,Handball,GILLE Guillaume,France,Handball,Men,168,168,336,France,10.0,12.0,11.0,33.0,10.0
24,ABALO Luc,France,Handball,KRUMBHOLZ Olivier,France,Handball,Women,168,168,336,France,10.0,12.0,11.0,33.0,10.0
25,ABAROA Cesar,Chile,Rowing,,,,,257,265,522,,,,,,
26,ABASS Abobakr,Sudan,Swimming,,,,,361,418,779,,,,,,
27,ABBASALI Hamideh,Islamic Republic of Iran,Karate,,,,,40,42,82,Islamic Republic of Iran,3.0,2.0,2.0,7.0,33.0
28,ABBASOV Islam,Azerbaijan,Wrestling,,,,,96,193,289,Azerbaijan,0.0,3.0,4.0,7.0,33.0
29,ABBINGH Lois,Netherlands,Handball,KLARENBEEK Auke,Netherlands,Handball,,168,168,336,Netherlands,10.0,12.0,14.0,36.0,9.0
30,ABBINGH Lois,Netherlands,Handball,MAYONNADE Emmanuel,Netherlands,Handball,Women,168,168,336,Netherlands,10.0,12.0,14.0,36.0,9.0
31,ABBOT Emily,Australia,Rhythmic Gymnastics,,,,,96,0,96,Australia,17.0,7.0,22.0,46.0,6.0
32,ABBOTT Monica,United States of America,Baseball/Softball,BERG Laura,United States of America,Baseball/Softball,Softball,90,144,234,United States of America,39.0,41.0,33.0,113.0,1.0
33,ABBOTT Monica,United States of America,Baseball/Softball,DOBSON Howard,United States of America,Baseball/Softball,Softball,90,144,234,United States of America,39.0,41.0,33.0,113.0,1.0
34,ABBOTT Monica,United States of America,Baseball/Softball,ERIKSEN Ken,United States of America,Baseball/Softball,Softball,90,144,234,United States of America,39.0,41.0,33.0,113.0,1.0
35,ABBOTT Monica,United States of America,Baseball/Softball,FLOWERS Tairia,United States of America,Baseball/Softball,Softball,90,144,234,United States of America,39.0,41.0,33.0,113.0,1.0
